ID|Bezeichner|OGD-Kurzname|CKAN Feld|Anzahl|Definition|Erläuterung|Beispiel|ON A 2270:2010|ON/EN/ISO 19115:2003|RDF property|Definition Englisch|Occurence
1|Eindeutiger Identifikator|metadata_identifier|extras:metadata_identifier|1|Eindeutiger Identifikator für den Metadatensatz. Der Eintrag beschreibt die eindeutige Identifikation für einen Metadatensatz. Es sollte eine UUID (nach RFC:4122) gewählt werden.|Der Identifikator soll automatisch vom System (Software) generiert werden. Falls dieser vorhanden ist (Harvesten bestehender Metadatensätze) muss dieser übernommen werden.|550e8400-e29b-11d4-a716-446655441234|1.1|mdFileID (2)|dcterms:identifier|Unique Identifier of metadata. Should the a UUID conforming to RFC:4122|R
5|Datum des Metadatensatzes|metadata_modified|extras:metadata_modified|1|Datum, an dem der Metadatensatz erzeugt bzw. aktualisiert wurde. Die Datumsangabe erfolgt gemäß ÖNORM ISO 8601 YYYY-MM-DD.|Datum, an dem der Metadatensatz erzeugt bzw. aktualisiert wurde. Dieses Metadatenelement sollte automatisch vom System (Software) befüllt werden. Wird für eine inkrementelle Aktualisierung (Harvesten) in einem Metadatenverbund benötigt.|2011-05-22|1.6|mdDateSt (9)|dcterms:issued|Metadata creation or update timestamp. Specification according to ÖNORM ISO 8601 as YYYY-MM-DD|R
8|Titel des Metadatensatzes|title|title|1|Titel des beschriebenen Metadatensatzes.|Titel des beschriebenen Metadatensatzes.|Schulstandorte, Pendlerstatistik Linz 2010|2.1.1|resTitle (360)|"dcterms:title (mit language tag ""de"")"|Resource title|R
9|Beschreibung|description|notes|1|Inhaltliche Beschreibung des Datensatzes, Dienstes oder Dokuments.|Kurze inhaltliche Beschreibung des Datensatzes, Dienstes oder Dokuments für BenutzerInnen.|Hauptwohnsitzbevölkerung der Stadt Linz für das Jahr 2010 gruppiert nach Geschlecht, Alter etc..|2.2|idAbs (25)|dcterms:abstract|Description of the resources content.|R
10|Kategorie|categorization|extras:categorization[“…“,“…“]|N|Kategorisierung des Datensatzes, Dienstes oder Dokuments. Vorgegebenes Kategorienschema für Österreich, siehe Anhang b).|Es muss die Zuordnung des Datensatzes, Dienstes oder Dokuments an das vorgegebene Kategorienschema durchgeführt und zur Anwendung gebracht werden. Mehrfachzuordnungen sind möglich.|Gesundheit|2.7.1 & 2.7.2|keyword (53) & thesaName (55)|dcat:theme|Categorisation of the resources content.|R
11|Schlagworte|keywords|tags|N|Beschlagwortung des Datensatzes, Dienstes oder Dokuments.|Freie Beschlagwortung des Datensatzes, Dienstes oder Dokuments. Schlüsselwörter können damit auch für zusätzliche Kategorisierungen und Kennzeichnungen der Metadaten, Datensätze, Dienste oder Dokumente verwendet werden.|Habitatmodell, Braunbär, Ursus arctos|2.7.1|keyword (53)|dcat:keyword|Key words describing the resource|R
14|Datensatz oder Dienst Link|resource_url|resources:url|N|URL für den Zugriff auf den Datensatz, Dienst oder das Dokument .|URL für den Zugriff auf den Datensatz, Dienst oder das Dokument. Die Angabe zielt auf unterschiedliche Formate ab. Es muss sichergestellt sein, dass ausschließlich vergleichbare Informationen in einer Ressourcengruppe abgebildet werden. Im Zweifelsfall sollen eigenständige Metadatensätze angelegt werden.|http://www.wien.gv.at/statistik/ogd/vie-district-pop-foreignborn.csv|6.1.4.1.1|linkage (397)|dcat:accessURL|URL to the resource|R
15|Datensatz, Dienst oder Dokument Format|resource_format|resources:format|N|Angabe zum Format des Datensatzes, Dienstes oder des Dokuments. Diese ist als Dateiformat, Download- oder Service- Link anzugeben. Liste von OGD-Formaten, siehe Anhang a).|OGD-Formate sollten grundsätzlich offene, maschinenlesbare Formate sein. Das bedeutet, dass publizierte Spezifikationen existieren und die Formate ohne rechtliche Einschränkungen genutzt werden können. Die Angabe soll ohne Punkt und in Kleinbuchstaben erfolgen.|csv|6.1.2.1|formatName (285)|dcterms:format|Specification of the resource. This may be a file type, download or service link. List of defined OGD formats in Appendix a).|R
19|Datenverantwortliche Stelle|maintainer|maintainer|1|Bezeichnung bzw. Name der für den Datensatz, Dienst oder das Dokument zuständigen Organisation bzw. Person|Bezeichnung bzw. Name der für den Datensatz, Dienst oder das Dokument zuständigen Organisation bzw. Person, kann auch gleichzeitig die veröffentlichende Stelle sein.|Magistrat Wien - Magistratsabteilung 33 - Wien Leuchtet; Magistrat der Landeshauptstadt Linz, Stadtkämmerei; Tirol Werbung GesmbH.|2.5.1 / 2.5.2|rpIndName (375) / rpOrgName (376)|dcelements:creator|Name of the person or entity responsible for the resource.|R
20|Veröffentlichende Stelle|publisher|extras:publisher|1|Bezeichnung bzw. Name der Organisation der den Metadatensatz veröffentlicht.|Bezeichnung bzw. Name der für den Metadatensatz zuständigen Organisation. Die veröffentlichende Stelle kann auch unterschiedlich zur datenverantwortlichen Stelle sein.|Stadt Wien, Land Tirol|2.5.1 / 2.5.2|rpIndName (375) / rpOrgName (376)|dcelements:publisher|Name of the publishing entity or person|R
21|Lizenz|license|license|1|Rechtliche Nutzungsinformationen für die Verwendung des Datensatzes oder Dienstes.|"Angabe der Lizenzform für den Datensatz, den bereitgestellten Dienst oder das Dokument. Bei OGD Daten bezieht sich dies auf „Creative Commons Namensnennung 3.0 Österreich (CC BY 3.0 AT) ""."|Namensnennung 3.0 Österreich (CC BY 3.0)|2.8.1.1|othConsts (72)|dcterms:license (sollte URI des Lizenzdokuments sein)|Legal information concerning the usage of the resource|R
24|Zeitliche Ausdehnung (Anfang)|begin_datetime|extras:begin_datetime|1|Element zur Erfassung des Beginns der Gültigkeit eines Datensatzes, Dienstes oder Dokuments|Element zur zeitlichen Erfassung eines Datensatzes, Dienstes oder Dokuments. Die Angabe des Zeitpunktes erfolgt in folgender Form YYYY-MM-DDThh:mm:ss. TM_Primitive (nach ON EN 8601 bzw. ON EN ISO 19108).|2008-12-23T22:30:12|2.9.6.2.1|exTemp (351)|dcterms:temporal|Date specifying valid from of the resource according to ON EN 8601 or ON EN ISO 19108 respectively.|R
